timestamp, memory.used [MiB], utilization.gpu [%]
2026/02/02 01:07:37.100, 17092 MiB, 0 %
2026/02/02 01:07:52.106, 17406 MiB, 0 %
2026/02/02 01:08:07.107, 17406 MiB, 0 %
2026/02/02 01:08:22.107, 20394 MiB, 49 %
2026/02/02 01:08:37.107, 19778 MiB, 38 %
2026/02/02 01:08:52.107, 21440 MiB, 51 %
2026/02/02 01:09:07.108, 22172 MiB, 53 %
2026/02/02 01:09:22.109, 22832 MiB, 46 %
2026/02/02 01:09:37.110, 22838 MiB, 33 %
2026/02/02 01:09:52.111, 22918 MiB, 37 %
2026/02/02 01:10:07.113, 22918 MiB, 58 %
2026/02/02 01:10:22.114, 22918 MiB, 67 %
2026/02/02 01:10:37.115, 22918 MiB, 61 %
2026/02/02 01:10:52.116, 22938 MiB, 75 %
2026/02/02 01:11:07.118, 22940 MiB, 46 %
2026/02/02 01:11:22.119, 22940 MiB, 63 %
2026/02/02 01:11:37.120, 22940 MiB, 46 %
2026/02/02 01:11:52.120, 22940 MiB, 67 %
2026/02/02 01:12:07.121, 22940 MiB, 42 %
2026/02/02 01:12:22.123, 22940 MiB, 65 %
2026/02/02 01:12:37.124, 22940 MiB, 63 %
2026/02/02 01:12:52.125, 22940 MiB, 48 %
2026/02/02 01:13:07.126, 22940 MiB, 22 %
2026/02/02 01:13:22.128, 22940 MiB, 28 %
2026/02/02 01:13:37.129, 22940 MiB, 34 %
2026/02/02 01:13:52.130, 22940 MiB, 44 %
2026/02/02 01:14:07.131, 22940 MiB, 79 %
2026/02/02 01:14:22.133, 22940 MiB, 60 %
2026/02/02 01:14:37.134, 22940 MiB, 75 %
2026/02/02 01:14:52.135, 22940 MiB, 50 %
2026/02/02 01:15:07.136, 22940 MiB, 49 %
2026/02/02 01:15:22.137, 22940 MiB, 47 %
2026/02/02 01:15:37.139, 21950 MiB, 99 %
2026/02/02 01:15:52.139, 22952 MiB, 99 %
2026/02/02 01:16:07.140, 20512 MiB, 86 %
2026/02/02 01:16:22.141, 18272 MiB, 4 %
2026/02/02 01:16:37.143, 18272 MiB, 3 %
2026/02/02 01:16:52.144, 17932 MiB, 8 %
2026/02/02 01:17:07.145, 4322 MiB, 0 %
2026/02/02 01:17:22.145, 20458 MiB, 0 %
2026/02/02 01:17:37.146, 20460 MiB, 0 %
2026/02/02 01:17:52.147, 20460 MiB, 0 %
2026/02/02 01:18:07.148, 66048 MiB, 9 %
2026/02/02 01:18:22.149, 71158 MiB, 0 %
2026/02/02 01:18:37.149, 19846 MiB, 13 %
2026/02/02 01:18:52.150, 23912 MiB, 57 %
2026/02/02 01:19:07.150, 24372 MiB, 40 %
2026/02/02 01:19:22.150, 24812 MiB, 43 %
2026/02/02 01:19:37.151, 24812 MiB, 58 %
2026/02/02 01:19:52.151, 24812 MiB, 72 %
2026/02/02 01:20:07.151, 24812 MiB, 54 %
2026/02/02 01:20:22.152, 24812 MiB, 19 %
2026/02/02 01:20:37.153, 24812 MiB, 50 %
2026/02/02 01:20:52.154, 24832 MiB, 39 %
2026/02/02 01:21:07.154, 24852 MiB, 38 %
2026/02/02 01:21:22.156, 24852 MiB, 60 %
2026/02/02 01:21:37.156, 24856 MiB, 53 %
2026/02/02 01:21:52.156, 24856 MiB, 48 %
2026/02/02 01:22:07.157, 24856 MiB, 72 %
